"units_sold" "ad_time" "ad_time2" "ad_time3" "ad_time4"
"1" 34 19.0438217753382 362.667147810846 6906.56852667999 131527.460101254
"2" 34 19.2140511654726 369.1797621894 7093.43883996413 136293.696810222
"3" 32 18.8548985475727 355.507199239259 6703.05217458793 126385.368710942
"4" 33 19.3206860285222 373.288908612732 7212.1978012363 139344.609293284
"5" 38 26.2167933740391 687.32025481706 18019.3331023308 472409.132681788
"6" 38 29.3055790853241 858.816965526183 25168.1285030456 737566.580275602
"7" 37 29.0338095030415 842.962094258905 24474.400862998 710585.092357359
"8" 38 17.4999711304603 306.248989566946 5359.3484761542 93788.4436107752
"9" 40 18.4242328711499 339.45235689036 6254.14927200867 115227.90259842
"10" 35 19.6682491499408 386.840024624146 7608.46598547693 149645.20465121
"11" 37 21.1581344055342 447.666651522651 9471.7911817917 200405.430885503
"12" 40 28.3139075691945 801.677361836887 22698.6187233653 642686.592481752
"13" 40 27.5588563367219 759.490562588079 20930.691303461 576825.914660356
"14" 40 31.0459488529859 963.850940182215 29923.6669907994 929008.634890139
"15" 40 30.7963163771473 948.413102401348 29207.6299577837 899487.41280655
"16" 41 25.5848562704387 654.584870379006 16747.4598254506 428481.352529101
"17" 40 29.8959132170806 893.765627083213 26719.9396236893 798816.996155448
"18" 43 42.0676612129566 1769.6881199281 74446.6402817293 3131796.04181464
"19" 50 53.2342598749387 2833.88642443251 150859.846374301 8030912.26658289
"20" 66 54.2568413632897 2943.80483472118 159721.551921952 8665986.90492781
"21" 50 53.7651991253773 2890.69663699147 155418.880298905 8356127.0471138
"22" 58 55.2299360070405 3050.34583134179 168470.40506435 9304609.69078426
"23" 58 61.0322829508909 3724.93956219761 227341.565335012 13875174.7420249
"24" 38 57.2806401279874 3281.071733472 187941.889199121 10765431.7201889
"25" 43 57.7211646778306 3331.73285176524 192311.50059928 11100443.7955317
"26" 38 62.9339016772565 3960.67598032259 249260.792721094 15686954.2211043
"27" 40 62.082574504132 3854.2460570611 239281.517994753 14855212.6683711
"28" 41 70.3581274543589 4950.26609888381 348291.45311826 24505134.4497584
"29" 52 55.2992651420194 3058.00872524736 169105.635304063 9351417.363689
"30" 71 54.1671177717946 2934.07664770346 158930.475327626 8608805.77459878
"31" 66 56.7310324702048 3218.41004513544 182583.724773012 10358163.2186287
"32" 58 66.7936184990624 4461.38747219829 297992.212794509 19903978.1770879
"33" 37 24.8376527297498 616.908993123649 15322.5713370648 380576.705796835
"34" 33 23.6531779042061 559.472824968026 13233.3102615375 313009.841877703
"35" 38 31.4804376677976 991.017955756091 31197.6789838478 982116.588630981
"36" 34 36.1339341312224 1305.66119579952 47178.6756467127 1704751.15821662
"37" 38 36.9922970910707 1368.43004407403 50621.3707387336 1872600.78552447
"38" 41 25.7689070971301 664.036572980521 17111.4967582317 440944.570255715
"39" 41 29.5056001484891 870.580440122522 25686.9983633508 757910.302723925
"40" 45 33.00191666149 1089.12650333193 35943.2620967804 1186196.54026004
"41" 45 34.6808629402101 1202.76225427764 41712.832890261 1446637.04031503
"42" 41 32.9054084480765 1082.76590513474 35628.85436211 1172382.00532226
"43" 41 32.6936865502958 1068.87714024899 34945.534184077 1142498.34094686
"44" 58 34.5735243921615 1195.32858889539 41326.7221248227 1428810.43543064
"45" 45 38.9134362742612 1514.25552267099 58924.8857844057 2292969.7879396
"46" 47 38.1443996082295 1454.9952214723 55499.9191559038 2117011.09450723
"47" 43 37.6261720136262 1415.72882039899 53268.4561209805 2004288.09290831
"48" 43 39.6929910196512 1575.53353608611 62537.6384990253 2482305.923332
"49" 52 36.6035197951533 1339.81766139418 49042.0422907377 1795111.36578376
"50" 55 37.5971716403522 1413.5473153541 53145.3810371273 1998116.01274479
"51" 58 37.8443107666397 1432.191857402 54200.3137289723 2051173.5164086
"52" 58 39.1473565238982 1532.5155228092 59993.93154982 2348603.82765115
"53" 52 48.142284036874 2317.67951228706 111578.385386967 5371638.32167517
"54" 52 46.4113403235992 2154.01251063295 99970.6076922763 4639769.89596326
"55" 83 45.0168925487568 2026.52061474631 91227.6607618752 4106785.80199177
"56" 58 53.2592246600013 2836.54501138449 151072.188019533 8045987.60161025
"57" 66 51.4640720840836 2648.55071547575 136305.204939595 7014820.89244712
"58" 58 37.5936285415885 1413.28090692293 53130.35743978 1997362.92187291
"59" 58 46.1571812923386 2130.48538485382 98337.2001493754 4538967.97507571
"60" 83 45.6670465096522 2085.47913691474 95237.6727403948 4349223.23050665
"61" 58 47.876700737836 2292.17847354031 109741.942815399 5254082.15456159
"62" 62 51.1467781178403 2615.99291183558 133799.609019498 6843418.91477402
"63" 55 57.3037403571428 3283.71865891883 188169.36143659 10782808.2309317
"64" 66 57.1119390052608 3261.77357694063 186286.213575205 10639166.8672281
"65" 62 47.8155933165747 2286.33096421606 109322.271572047 5227309.27793314
"66" 83 46.2016007307146 2134.58791008037 98621.3783461438 4556465.54586128
"67" 58 46.723144966892 2183.05227559721 101999.067943032 4765717.23799014
"68" 58 48.3127091449624 2334.11786492573 112767.557518218 5448106.20736547
"69" 62 45.8466416135408 2101.91454724045 96365.722949621 4418044.76390104
"70" 83 45.751156163861 2093.16829033 95764.8693281299 4381353.49164302
"71" 66 52.1931814292378 2724.12818770534 142180.916737405 7420874.38305076
"72" 62 51.8433919519662 2687.73728908519 139341.417741958 7223931.735139
"73" 58 57.7846023231548 3339.06026564515 192946.269583352 11149323.4576102
"74" 66 59.3129824660029 3518.02988901236 208664.845121864 12376534.2999843
"75" 58 45.3988052048941 2061.05151403192 93569.2762027869 4247933.34349325
"76" 58 50.7770646157072 2578.31029098771 130919.028244826 6647683.95661311
"77" 55 57.1010302740737 3260.52765836068 186179.488529508 10631040.610935
"78" 58 42.0105475776313 1764.88610777242 74143.831799674 3114822.9734081
"79" 52 40.3229069440975 1625.93682442235 65562.4992681638 2643670.55701263
"80" 58 39.9055601675121 1592.45373228292 63547.7582275954 2535908.88946182
"81" 52 40.1247456421303 1609.99521284566 64600.6484004795 2592084.58538594
"82" 52 46.2945360562757 2143.18406866581 99217.7121420848 4593237.95218293
"83" 58 50.0809307954656 2508.09962934022 125607.96396512 6290563.75069653
"84" 58 41.3546376378231 1710.20605415566 70724.9516556185 2924804.74767066
"85" 58 41.3168490041417 1707.08201163105 70531.2497122464 2914128.9944343
"86" 62 45.0853183515869 2032.68593086393 91644.2923017922 4131812.09353218
"87" 62 47.7207799950633 2277.27284333724 108673.236345629 5185971.60300127
"88" 58 46.4559003398051 2158.1506763819 100258.832740281 4657614.34196767
"89" 66 52.9296929223812 2801.55239285758 148285.307859914 7848695.80992601
"90" 58 52.3422109347945 2739.70704554252 143402.324077329 7505994.69539531
"91" 38 37.9421400993617 1439.60599531959 54621.7323622972 2072465.42176012
"92" 40 37.7358377975266 1423.99345428124 53735.5860154965 2027757.35783582
"93" 38 40.7247703076978 1658.50691661474 67542.3132328635 2750645.19245894
"94" 41 39.3997695735382 1552.3418424479 61161.910891809 2409765.19581455
"95" 47 47.0092767107665 2209.87209686941 103884.488897136 4883534.68452202
"96" 45 45.5594663577688 2075.66497480467 94566.1885896122 4308385.08763085
"97" 43 46.2949188759003 2143.21951372619 99220.1735212005 4593389.88401673
"98" 45 45.0922824726068 2033.31393858936 91686.76647436 4134365.57286177
"99" 50 54.5613401200033 2976.93983569069 162425.826891906 8862170.78532209
"100" 30 16.3577425393014 267.575740982072 4376.93508074753 71596.7771621047
"101" 31 17.3855766407545 302.258275131548 5254.93440760178 91360.0648854984
"102" 31 17.0370706492366 290.261776307079 4945.21038971662 84251.8987849408
"103" 34 15.628011904425 244.234756084848 3816.90367556834 59650.6160798254
"104" 31 17.1105056842737 292.769404771562 5009.43256452523 85713.9243702946
"105" 29 18.1339900875015 328.841596493603 5963.21025117317 108136.795584462
"106" 27 17.977998239938 323.208420715215 5810.64041875128 104463.683221223
"107" 27 18.8032366435817 353.561708274533 6648.10446879505 125005.881558006
"108" 34 20.7811783711662 431.857374494227 8974.50513026806 186500.791905047
"109" 38 23.4066168458889 547.869712170249 12823.7764342364 300161.221513511
"110" 37 24.2977087991406 590.378652887834 14344.8485890975 348546.953785653
"111" 33 23.7310340885478 563.161978911819 13364.4161189304 317151.414491876
"112" 32 25.30821128516 640.505558454298 16210.0500026808 410247.370410853
"113" 38 23.1181336575808 534.448103809769 12355.4426969148 285634.775665857
"114" 38 24.9800908474752 624.004938748115 15587.7000592011 389382.163582039
"115" 35 33.9882421633435 1155.20060535408 39263.2379220155 1334488.43861043
"116" 38 20.1616484092779 406.492066579339 8195.55012753343 165235.800191942
"117" 34 20.8316964847862 433.959578434255 9040.1142246082 188320.915714837
"118" 35 20.6152430149312 424.988244564669 8761.23594018965 180615.008018159
"119" 37 18.7491489647813 351.530586903559 6590.89933953182 123573.753528761
"120" 41 28.3008449823518 800.937826715108 22667.217274366 641501.40226312
"121" 41 26.8665806933715 721.813158153443 19392.6514590668 521014.235283447
"122" 41 26.7980384000087 718.134862088341 19244.6056106283 515717.680146641
"123" 45 29.0948553401693 846.510607265378 24629.103662305 716580.208212799
"124" 52 38.1225444057281 1453.32839196671 55404.5761588562 2112163.41489654
"125" 50 40.1466512825742 1611.75360920462 64706.5101021681 2597749.69678411
"126" 58 47.4458251120103 2251.10632055947 106805.596793805 5067479.66646277
"127" 83 46.6304783299762 2174.40150928238 101393.382459259 4728021.92356948
"128" 52 46.8843503817832 2198.14231072182 103058.474284904 4831829.61818545
"129" 55 57.3419805493839 3288.10273332592 188546.322978751 10811619.5849054
"130" 71 60.5371961593312 3664.75211883334 221853.817893139 13430408.0924935
"131" 66 38.150675150806 1455.47401446233 55527.3163161919 2118404.60677509
"132" 55 41.7322653834604 1741.58197403556 72680.1611275029 3033107.77228561
"133" 55 44.1601641664559 1950.12009920834 86117.6237253456 3802968.40133634
"134" 66 46.3715208912221 2150.31794976505 99713.5137302997 4623867.28508175
"135" 58 56.2822252316895 3167.68887703062 178284.578840955 10034252.8216635
"136" 62 54.1189058853887 2928.85597423156 158506.480821297 8578197.31779193
"137" 55 53.2203652149676 2832.40727361453 150741.749539296 8022530.96362451
"138" 58 39.6885400725797 1575.18021309277 62516.603008867 2481192.70371897
"139" 52 39.3235606541083 1546.34242251733 60807.690043881 2391174.88767677
"140" 52 45.1815512499027 2041.37257334758 92232.3795428495 4167201.98321573
"141" 58 49.9692544771417 2496.92639300134 124769.550342576 6234641.4120667
"142" 34 22.5028866181392 506.37990614883 11395.0096137711 256420.609351297
"143" 37 22.8944808415304 524.157253003201 12000.308186831 274740.825875862
"144" 32 24.9990455387601 624.952277849004 15623.2104534991 390565.349588658
"145" 31 23.9236186083578 572.339527318165 13692.4325660476 327572.534530781
"146" 37 34.205059178376 1169.9860733962 40019.4428783929 1368867.41194107
"147" 38 33.20663210587 1102.6804158146 36616.3028983031 1215904.09942105
"148" 38 28.7889893575645 828.805908229961 23860.4844715189 686919.233516891
"149" 40 31.344271005477 982.463324864786 30794.5967075038 965234.18470437
"150" 40 34.0291549763313 1157.98338840317 39405.1961839888 1340925.52781769
"151" 58 31.8018701759579 1011.35894668848 32163.1059238806 1022846.91904684
"152" 58 34.2951493370498 1176.15726805055 40336.48915165 1383345.91918812
"153" 50 38.7448433504053 1501.16288624745 58162.3208710996 2253490.01104676
"154" 55 56.2406322511588 3163.00871601008 177889.610004333 10004624.1375558
"155" 38 30.5231399533542 931.662072612046 28437.2518315695 867994.217543773
"156" 38 39.3904790070676 1551.60983640623 61118.6546881193 2407493.08443258
"157" 37 38.1328253364864 1454.11236814298 55449.412954021 2114442.77918639
"158" 35 37.9407461233381 1439.5002163956 54615.7122547557 2072160.87300297
"159" 40 52.8795402553351 2796.24577761561 147864.191161236 7818990.44883313
"160" 40 25.410553956148 645.696252358307 16407.4994598333 416923.650309563
"161" 41 25.8671982879693 669.111947269121 17308.0514168596 447710.797978275
"162" 37 26.0633557639651 679.298513679012 17704.7988319488 461446.470686515
"163" 40 24.820735288987 616.068900285964 15291.2830937752 379540.889899557
"164" 38 24.0184072241263 576.883885583963 13855.8320849919 332795.017446451
"165" 43 25.5367347671144 652.124822565951 16653.1386289183 425266.784206674
"166" 38 22.1832366197651 492.095986928485 10916.2817176714 242158.46035112
